model,split,age_group,rep,sensitivity,specificity,npv
CDR,val,>=2,15,0.9642857142857143,0.5060471037555697,0.9993714644877436
CDR,val,>=2,16,1.0,0.4949077021005729,1.0
CDR,val,>=2,17,0.9642857142857143,0.5063653723742839,0.9993718592964824
CDR,val,>=2,18,0.9642857142857143,0.5035009548058561,0.9993682880606444
CDR,val,>=2,19,0.9642857142857143,0.5038192234245703,0.9993686868686869
CDR,val,>=2,20,0.9642857142857143,0.4996817313812858,0.9993634627625716
CDR,val,>=2,21,0.9642857142857143,0.5044557606619987,0.9993694829760403
CDR,val,>=2,22,0.9642857142857143,0.5140038192234245,0.9993811881188119
CDR,val,>=2,23,1.0,0.5105028644175684,1.0
CDR,val,>=2,24,0.9642857142857143,0.5117759388924252,0.9993784959602238
CDR,val,>=2,25,0.9642857142857143,0.50986632718014,0.9993761696818465
CDR,val,>=2,26,1.0,0.5050922978994271,1.0
CDR,val,>=2,27,0.9642857142857143,0.49840865690642905,0.9993618379068283
CDR,val,>=2,28,0.9285714285714286,0.5041374920432845,0.9987389659520807
CDR,val,>=2,29,0.9642857142857143,0.5070019096117123,0.9993726474278545
CDR,val,>=2,30,0.9642857142857143,0.5092297899427116,0.9993753903810119
CDR,val,>=2,31,0.9642857142857143,0.5085932527052832,0.9993746091307066
CDR,val,>=2,32,0.9285714285714286,0.5105028644175684,0.9987546699875467
CDR,val,>=2,33,1.0,0.501591343093571,1.0
CDR,val,>=2,34,1.0,0.5041374920432845,1.0
CDR,val,>=2,35,1.0,0.5136855506047103,1.0
CDR,val,>=2,36,0.9285714285714286,0.4955442393380013,0.9987171263630532
CDR,val,>=2,37,0.9642857142857143,0.5089115213239974,0.999375
CDR,val,>=2,38,0.9642857142857143,0.5063653723742839,0.9993718592964824
CDR,val,>=2,39,0.9642857142857143,0.5050922978994271,0.9993702770780857
CDR,val,>=2,40,0.9642857142857143,0.511457670273711,0.9993781094527363
CDR,val,>=2,41,0.9642857142857143,0.5076384468491407,0.9993734335839599
CDR,val,>=2,42,0.9642857142857143,0.5085932527052832,0.9993746091307066
CDR,val,>=2,43,0.9642857142857143,0.5085932527052832,0.9993746091307066
CDR,val,>=2,44,1.0,0.5136855506047103,1.0
CDR,val,>=2,45,0.9285714285714286,0.5047740292807129,0.9987405541561712
CDR,val,>=2,46,0.9642857142857143,0.5079567154678549,0.9993738259236068
CDR,val,>=2,47,0.9642857142857143,0.5085932527052832,0.9993746091307066
CDR,val,>=2,48,0.9642857142857143,0.5031826861871419,0.9993678887484198
CDR,val,>=2,49,0.9642857142857143,0.508274984086569,0.9993742177722152
CDR,test,>=2,0,0.9821428571428571,0.5074793125397836,0.9996865203761756
CDR,test,>=2,1,0.9821428571428571,0.503341820496499,0.9996839443742098
CDR,test,>=2,2,0.9821428571428571,0.5044557606619987,0.9996846420687481
CDR,test,>=2,3,0.9642857142857143,0.5054105665181413,0.9993706733794839
CDR,test,>=2,4,0.9642857142857143,0.5076384468491407,0.9993734335839599
CDR,test,>=2,5,0.9642857142857143,0.5087523870146403,0.9993748046264458
CDR,test,>=2,6,0.9642857142857143,0.49856779121578615,0.9993620414673047
CDR,test,>=2,7,0.9642857142857143,0.5085932527052832,0.9993746091307066
CDR,test,>=2,8,0.9642857142857143,0.5062062380649268,0.9993716619541313
CDR,test,>=2,9,0.9642857142857143,0.5036600891152132,0.9993684875276286
CDR,test,>=2,10,0.9642857142857143,0.5038192234245703,0.9993686868686869
CDR,test,>=2,11,0.9642857142857143,0.5100254614894971,0.9993763642033052
CDR,test,>=2,12,0.9642857142857143,0.5087523870146403,0.9993748046264458
CDR,test,>=2,13,1.0,0.4993634627625716,1.0
CDR,test,>=2,14,0.9821428571428571,0.5035009548058561,0.9996840442338073
CDR,test,>=2,15,0.9642857142857143,0.5038192234245703,0.9993686868686869
CDR,test,>=2,16,0.9821428571428571,0.5084341183959261,0.9996871088861077
CDR,test,>=2,17,0.9464285714285714,0.5042966263526416,0.9990542244640606
CDR,test,>=2,18,0.9642857142857143,0.49697644812221514,0.99936
CDR,test,>=2,19,0.9464285714285714,0.5073201782304265,0.9990598558445628
CDR,test,>=2,20,0.9642857142857143,0.5046148949713558,0.9993696816892531
CDR,test,>=2,21,0.9642857142857143,0.5079567154678549,0.9993738259236068
CDR,test,>=2,22,0.9642857142857143,0.5054105665181413,0.9993706733794839
CDR,test,>=2,23,0.9821428571428571,0.5112985359643539,0.9996888612321095
CDR,test,>=2,24,0.9642857142857143,0.5071610439210694,0.9993728441517717
CDR,test,>=2,25,0.9642857142857143,0.5023870146403565,0.9993668882557771
CDR,test,>=2,26,0.9642857142857143,0.5041374920432845,0.9993690851735015
CDR,test,>=2,27,0.9821428571428571,0.5092297899427116,0.999687597625742
CDR,test,>=2,28,0.9642857142857143,0.5009548058561426,0.9993650793650793
CDR,test,>=2,29,0.9642857142857143,0.5017504774029281,0.9993660855784469
CDR,test,>=2,30,0.9642857142857143,0.5019096117122852,0.9993662864385298
CDR,test,>=2,31,0.9464285714285714,0.5035009548058561,0.999052731291443
CDR,test,>=2,32,0.9642857142857143,0.4990451941438574,0.9993626513702996
CDR,test,>=2,33,0.9821428571428571,0.5052514322087842,0.9996851385390428
CDR,test,>=2,34,0.9642857142857143,0.5014322087842139,0.9993656834760546
